Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11
"math student who took this course since I had 0 prior programming experience. the course isn't horribly hard, but if you fall behind or don't understand one lesson, everything following will be super challenging. the course was mostly online completing modules, and my biggest criticism is that solutions for lessons are never posted after they are due which makes it super challenging to do the next week's module if you didn't understand/didnt know how to write a specific code for the week. the racket language used in this course is easy to follow but not very useful and isn't used anywhere. this makes it difficult to find help outside of cs115 profs/ta's/past cs115 students. the course is oddly paced, felt the super easy and simple first half of the course, and then gets unreasonably fast. didn't find any of the profs/ta's answers to questions posted on discussion boards useful at all. because the course was only offered online, I had to essentially had to teach the whole course to myself","SO easy, didn't pay attention in the lectures, just used course notes.","It's kind of hard for students who are in 1A term because it takes time to get used to this course. The assignments are always much harder than the content, which needs to be improved.",Very easy course if you keep up with the material and do the assignments.,"This course is great for anyone that is interested in math. It is quite different from high school math courses, as it is a whole new way of approaching mathematical problems. The course goes over techniques of proofs, which are the building blocks of many future math courses. The later half of the course goes over some number theory, I found it sufficiently challenging but still interesting. In terms of course load there are weekly assignments, but they are not too bad if you start early, and you are allowed to ask instructors for help. Be warned that the exams are fairly difficult though. Overall, a great course for any math enthusiasts to take.",This course is interesting and easy before the midterm. Still interesting after the midterm but it is super hard. I took it twice and still couldn't get a good grade,For someone with no history in writing programs this was a very cool course. Lectures were difficult to pay attention to but I liked the overall skill set I came out of the course with. Also learned that coding can be very frustrating (you can easily get stuck at a road block for significant amounts of time) yet very rewarding (no better feeling than finally getting your program to run),This course teaches proof techniques which I assume that will be used a lot in future math courses and ended with lots of calculation. It was neither hard nor hard but I learned how to manage time wisely (took some time to get used to first-year university math tho).,"Fair difficulty but very tedious/annoying proofs on weekly written assignments (15-22h each week for me, to achieve low 90s on average) that just made me not want to see a proof ever again. Mike Cooper-Stachowsky is an amazing lecturer, but even then, I couldn't find myself engaged in the content apart from the concept (not proofs - those were not engaging) of modular arithmetic and RSA encryption. The Mobius assignments (quizzes) were free marks if you put enough time/effort into them since they had 3 attempts each, and oftentimes there were some questions that just took away so much of my sanity that I gave up and settled for a lower grade.",Pretty challenging course for someone coming out of a standard high school curriculum. Bunch of theorems that you need to know when and where to apply. Logical thinking this course taught is useful throughout your undergrad degree,"Was my favourite course in 1A, taught you a different way of thinking and approaching problems. It is a difficult course, but if you read the textbook and do lots and lots of practice problems you will be fine.","Super easy if you do it online, there was no midterm and the final was going to be all multiple choice (except it was cancelled due to the pandemic). There was one multiple choice quiz every week. A lot of the content was just common sense, which makes this a good course to do online because going to lectures would be pretty useless."
"If you feel like you have sufficient Computer Science experience, go to CS 135 because it does challenge you more. This is a good introductory course to learn programming. Also, Racket needs some getting used to.",Honestly a really straightforward and boring class. Reading the textbook was a much bigger help than attending lectures. Midterms were easy if you made notes and understood the concepts.,"The most disgusting piece of content that I have ever learnt in my life. This course is so useless and unnecessarily complicated. The lectures are often useless because instead of actually explaining how to solve problems, the whole lecture is wasted on proving random theorems that we will never be expected to prove. If you do bad on the midterm, don't give up as the content gets much better next term which means it is still possible for you to recover your mark. As far as I saw, the first part of the course is tough to wrap your head around for most people but the post midterm content is more computational and easier to understand. If you can take the course online then do it since assignments and quizzes are weighted higher and the exams are online as well.","Interesting material, but truly quite difficult. Takes a lot of practice, especially before major assessments, so keeping on top of assignments and quizzes helps a lot.",Amazing course! you'll either love it or hate it lol. Need to go to lectures and keep up with the assignments to do well. Textbook is very useful! Choose your prof wisely as that will impact your grade significantly.,"Materials before the midterm were very easy, the course gets a bit harder after the midterm. But if you do all your assignments, you should be able to do well on the exam easily.","This is most definitely the hardest course I had in 1A. I guess I'm not really a proofs person. I would definitely recommend going to tutoring in residence - it's very useful for completing assignments and generally understanding some of the material. If you don't understand what the prof is talking about in class, make sure you clarify with them. Get help when you need it before it's too late.","It gives you a first insight of mathematical proofs;a very easy course,but the knowledge taught will be repeatedly used in upper-year math.",Pretty interesting course. Mobius quizzes were quite easy but set aside a fair amount of time for written assignments as they tend to get much more difficult post midterm.,Pretty interesting course. As someone who never did Econ prior to this course it was important to keep up with all the new content as concepts tend to build on each other. Trust the test bank and you'll end up with high 90s,"Very useful course. Really enjoyed applying proof techniques to different questions. Although somewhere around (Assignment 4+), assignment difficulty went from stupidly easy to incredibly difficult and it could take upwards of 15 hours to complete a problem set.",Easiest course I've ever taken. No need to go to class or get the textbook. If you just read the slides the night before the midterms and exam you should be able to get a high 90. It's 100% multiple choice and mostly common sense.
"I took this course online due to the COVID-19 pandemic, so my review is based on a remote, online learning experience. Overall, as someone who is not a CS student and who doesn't have a lot of background experience and knowledge in programming, it's a great introductory course to the language of Racket and the overall concepts that will be useful in later computer science courses. The Racket language itself is not a very ""useful"" language that you may or may not use in later CS courses and even in a job, but the foundation it provides is very valuable and will definitely make you think more mathematically at programming problems. The difficulty of this course starts to increase after the midterm exam, and it does get pretty tough nearing the end. I recommend starting the assignments as early as possible and attend as many office hours if you have any questions. The course staff are very responsive and do offer a good amount of help depending on your questions. Overall, I can't say much about the in-person learning experience, but this course was suited well for online learning and I enjoyed it.","do not take this as an elective unless coding/math is easy for you! there are a lot of concepts, impossible to teach yourself from the course notes because of how poorly organized they are. lectures are impossibly boring. My best friend tutors this class and I still justtttt scraped by. language is not super useful in life. many of my friends have taken this course because they heard it was easy and ended up failing.","So Easy. Just follow the course notes. It literally tells you how to do everything you need to do. Assignments take some time, so leave a few hours aside for them. Otherwise this class is super easy.",Useful course. Assignments get a lot harder after the midterm.,The first half of the course was super easy and then the course took a turn for the worst. The quizzes are pretty easy but the assignments can be extremely tough - so I suggest that you do not start them at the last minute.,"I feel like it's too early in my academic career to speak of the usefulness of this course. I will agree with what others have said, pre-midterm this class is really not tough. In fact my advice would be to squeeze all the marks you can pre-midterm, by doing this you are able to save your dropped assignment for the second half when assignments become a lot harder and you can go into the exam being able to pass the course with a fail on the exam. Also go to office hours and start assignments early, they're a great help.","Reviewing as a science major, this course was definitely the one that set me up with programming. Even though it was Dr. Racket, concepts were easy to follow. Be sure to go ask a lot of questions if you do not understand.",It's a great course. Well organized and building a fundamental basis for our mathematical intuition. It also combines how the elegance of writing and math.,"Took it online during covid-19. Some of the assignments were very challenging, but the exams were usually pretty easy, and our grades were hyper inflated.",Easy course if you NEVER took econ before.. probably extremely boring if you have taken econ before. All exams are multiple choice,"this is a really great and interesting course! There is a lot of learning to do, and you do need a very consistent work ethic in order to keep up with course content. Practice makes perfect!","Came in with no prior knowledge, skipped every lecture, studied 4h per exam, ended with low 90s."
Take CS 135 or 145 if you have prior programming experience. The majority of this course is exceedingly easy if you already know programming basics. It may only possibly get difficult at the very end. The design recipe and templates are the hardest thing for the majority of the course.,Easy final. Pay attention and do the assignments--that should more than prepare you for the course.,"I actually enjoyed this course. It was a lot of new stuff for me but nothing too hard to get. Assignments were impossible to do alone so I had to go to office hours every week or talk with friends or go to tutorial centre to solve everything. The textbook is pretty useful, has some good examples.",Interesting course. Assignments can be challenging so start those as soon as possible. Midterm and Final were straightforward.,"Great course with emphasis on proofs covering many topics. Some of the proofs can be pretty challenging to figure out, but are rewarding upon completion. Start your assignments early and don't be afraid to ask friends or your prof for clues to assignment problems if you are stuck.",Honestly I struggled with the course more than I should have in hindsight. But don't despair if you get a bad midterm mark - if you work hard you can improve your mark in the final.,Very hard course. Got bumped up to a 60 after failing the exam and got fucked over in math 136. I however would not do this course again and would not wish this course upon my greatest enemy. It is hell.,"Interesting topic, first time seeing proofs like this maybe useful for upper year math courses. Very difficult in-person but online is much easier, grading is unfair and depends on the prof (some profs gave extra bonus questions, etc). Pick Anton’s class if you can he is the best.","I found this course to be very challenging. might have been because I did not like my profs teaching style. proofs were nothing I have done or seen before so math135 was very new to me. the textbook isn't very useful to learn how to come up with proofs that were on any of the assessments. the weekly assignments were extremely difficult and took the average student around 5-10 hours a week to complete. weekly quizzes were good to assess textbook understanding. as someone who struggled in this course, i have to say the responses on piaaza were essentially useless when i asked questions about the course content, their response everything was a direct quotation from the textbook, or if they were feeling extra lazy would just say 'look at the course notes'.","The worst class, so boring, so dry. Learn one thing, and you know it all though.","This course really expands my thinking as a mathematician. It starts easy and gradually builds up the level of difficulty. Some assignment questions near the end of the course really take time, but also intriguing. I could spend a day just to finish an assignment without being bored. Overall, this is my favorite course in 1A and I did learn a lot of fun stuff.","Took online, almost all multiple choice, a lot of questions are common sense"
"Nice course that teaches you how to write simple code. But little annoying that you have to do Design Recipe (especially writing an explanation for codes). There is no loop in DrRacket so being able to understand recursion is important. All course contents are based on a website and you have to read everything and code something on that website. Pity that this course will not show many algorithms or data structures. So far I think those who can just play computer games (i.e. no coding experience but can easily type using the keyboard) can easily get 90+ in this course. If you have ever coded like C, python, java, pascal and so on, easy to get 95+. Idk why the easy rate goes so low but trust me, super easy course if you finish reading the material (okay reading part may be a little boring and CS 135 provide detailed intros which seem not wordy)",Not easy if you have no previous knowledge on the subject. Went through chapters just about every other class so it was very fast paced,"It's the worst course ever, online especially. They are least interested to teach. They just provided the content to read by ourselves. I wouldn't suggest anyone to take this course online.","This course isn't easy. It takes a lot of hard work from your end to get a good mark. As the semester progresses, the concepts get harder. That is, at first, they can sound very confusing and intimidating. However, with a lot of practice and patience, you can relate to the topics more effectively. The proofs come to you with patience. Don't get discouraged if you are not able to solve them right away.","Learning proofs was useful in the first half of the course, after that it was all useless bs. Assignments were all about finding little tricks, not actually testing the content.","Really easy course. Only 3 exams, two midterms and a final throughout the whole course. Only went to a couple of classes and still passed decently.",Sedra Smith recommended me this course so I don't end up like one of those pig 4 students. I did very well and am happy about my life choices.,A very interesting class that teaches you the fundamentals of proofs and abstract algebra. Essential for anybody who wants to have a basic understanding of how math works. This ain't your high school math anymore.,"Not that hard compared with MATH 137. Quizzes and written assignments constitute a large portion of the final grade. Written assignments are usually hard, which takes days to complete. It is recommended to participate in office hours when instructors usually give hints for the assignments.","I took this class in F2020 thinking it was birdy, I guess I just suck ass at Economics. The weekly modules were dry for me, this is just my opinion I know quite a few people who find Econ fascinating. The professor's presence was non-existence. Overall a 5/10 for me.","Really interesting course, makes you explore a whole new way of understanding mathematics. Unfortunately, if you're in-person only 20% of your grade is from assignments and quizzes, and the other 80 is midterm and final. Makes it really demotivating at times because each assignment is only 1% of your grade.",Easy bird course. Multiple choice ftw.
Really easy course. Especially if you have coded before. Assignments get a little harder at the end but both the midterm and finals were easy. The only thing I hated about this course was how annoying using Dr. Racket can be at times.,hard course. boring. make sure to keep up with the textbook readings otherwise you will struggle. take time to go over the chapter before the lecture cause the lectures only help if you know what youre going to learning. dont recommend taking it if its not mandatory.,"This course is taught in an archaic language that no one uses and no one understands. Instructors' explanations are irrelevant to actual questions and I got yelled during office hrs even though I stated that I need a little patience (I am disabled). Assignments and quizzes are unreasonably hard. I took to take this for bioinformatics option and decided to change my future career. Truly the worst in UW history. If you don't need this course, run.","The course was not very hard. The language used was Scheme, which I did not like and found it to be very tedious. It is not as fun as other languages. The course however was good overall.","This course feels more like a logic course. It covered a lot of topics, but the concept is very fun to learn(depending on your prof). The first part of the class was fairly intuitive. The second part gets more complicated, but it was still interesting overall.","Never taken anything even remotely related and this was super easy. Read the modules, take a couple hours each week to do assignments, easy enough midterm and final.","The course was like an edible that's too strong. At first everything is great and you think it's soft but you just keep coming up. As it progresses, the intensity only increases and can become overwhelming and you may not like it. If you don't like your prof I would recommend skipping your lectures and using the mobius lessons. They are much more concise and you can be sure that you will not miss something covered on the assignments. Also the feedback part can be very similar to the quizzes. Overall it was very rewarding to finish the course, but just beware that it becomes more time consuming towards the end.","Proofs! The harder problem solving works out to be either you know it or you don't know it, so you basically just have to do a lot of problem solving and maybe something will stick. This course is good for writing proofs in other courses later.","Other than some of the oligarchy content and some of the material in the beginning, this course was just a knowledge dump of a bunch of microeconomic content. You won't retain anything that you learn at all. quizzes/exams were multiple choice, which weren't too bad if you took it online. Mark also consisted of 2 discussion boards, which were engaging (but you get penalized if someone responds to your post 30 minutes before its due and you don't reply back because its 11pm at night)",Boring course,"I honestly didn't find this course too bad. Writing proofs seems daunting at first, but with practice, you'll start to be able to think in that manner and it will become much easier. I would caution relying on others for help too much though- I think the best way to screw yourself over in this course is to not keep pushing even when you get stuck on a question (Which happens a lot).",
Pretty easy straight forward introductory CS course. People complain but scheme syntax but personally I don't mind prefix notation at all.,Birdiest course I've ever taken. Don't even need to go to lectures just study from the textbook and solve the exam bank questions. The version of the textbook doesn't matter so don't waste money on a newer version.,"i had to take this course twice and when i tell you i hated it, that is an understatement",the course is hard but definitely manageable. don't stress over the assignments because they are worth so little. rather you should try to understand the content on a much deeper level. that goes a long way,"pretty useful for the first year, for math courses generally. basically all of them have proofs of some sort and this course teaches you how to handle proofs really easily, basically formulaically. great prof and course notes too",Super easy course. Got 100 on the first midterm stopped going to class after that because couldn't bother with an 8:30am class. Managed to get 100 on all midterms after that and ended with a 98 final mark.,"Don't start assignments the night before they're due, stay on top of your work and make sure to understand key concepts as the course builds on itself. Should be a breeze if you play your cards right.",I read somewhere that this course basically teaches you how to math. I second that.,"This course wasn't actually that bad but I still didn't like it. It was 1 module and quiz a week which was really easy at the beginning and end of the course. Some parts in the middle of the course made no sense and the questions made even less sense. The basics of supply & demand, elasticity, and types of markets are the only useful takeaways from the course. A lot of the course is common sense and I regret actually taking this course. The discussion posts were easy and the quizzes & exams were medium difficulty.","I took this asynchronous so I can't say necessarily the same is true for in-person, but the course was overall really dry. As a disclaimer I never took econ before in high school. The course content had nonexistent explanations, motivation, applications, citations or justifications. It reminded me of memorisation-heavy high school courses that feed you information, never explaining why they are true or why you would ever need to know them. Some reviews below claim that most statements are common sense, but as someone who has never taken econ in high school, I find that there are several unjustified claims in the modules, such as ""why is ATC minimized when MC=AVC?"" I later found a proof of this using calculus, but nonetheless there is zero reason to expect this to be true using ""common sense"", nor was there any reasoning of this in the module. There were a lot of erroneous questions (like two MCQ choices are the same) on the quizzes, midterms and final, and you don't get the answers after each quiz, so overall the quality of the presentation and assessments were likewise nonexistent. They claim they hide the answers for copyright reasons but 90% of the questions can be found on quizlet. The textbook was completely unnecessary. Further, the prof's presence was nonexistent. First asynchronous course though, so I'm not sure if all asynchronous courses are as garbage as this one.","Essential course, taught me to think differently than before I took it.",
Since I had prior programming experience this course seemed kind of useless. The language is good for teaching though.,Very interesting and useful course. Pay attention to the lectures as some of the content will show up in upper year math courses.,"Was fun at first as it's similar to competitive math, but as the term goes on and assignments pile, it's not that great. Assignments are based somewhat on the material but it will take a long time just to finish one question.","I found the course hard since it's not like anything we learned in high school. There were a lot of proofs and algorithms, which I'm not good at. However, the course is very interesting and I enjoyed it.",Hardest course I've taken yet. Manageable with ample studying and practicing though.,Course is super easy,People who like computer science will like this course.,"Hard course, but fundamental math concepts taught.","PROS: (1) Readings itself were simple to understand. (2) Nicely arranged content on Learn and Mobius (I took it online). (3) Decent grade, task, and submission period distribution. CONS: (1) Too many readings for a first-time learner of econ. (2) One collective zoom office hour (1 hour long) at the beginning of the week felt very unfair (3) Found a need for more OHs each week and a MS teams GC. (4) Felt isolated from the rest of the class. (5) lack of one-to-one instructional support (unless you email every question). (6) Had to refer to external resources for quicker understanding because readings were too time consuming. (7) Weren't taught at all on how to approach an article/case study. TIPS: (1) Finish all readings in the first two days of the week, (2) repeat quizzes till you get them correct (you get 4 chances per graded quiz every week, please use these well). (3) Don’t just read to study, answer a lot of MCQs.","Difficult course coming out of high school. The computational stuff wasn't bad (just involved practice) but, as others have said, proofs were the tough. I think the whole idea is to transition your mind from just computational/plug and play mathematics (the only kind you get exposed to in high school) to more creative thinking based mathematics.",In my opinion one of the best run courses. Does a great job of introducing a new perspective on math.,
"Not a bird course, although if you have background in programming it would not be difficult at all. Racket is somewhat useless but I learned some concepts that will be useful for other programming languages","Taken Online: I took this course because at one point I wanted to be a business student, this course taught me that it wasn't really for me in the end. Great bird course, really only skimmed notes before quizzes and crammed before finals and midterms. I wish I paid more attention so I could take 102 for the 3 prerequisite chain.",One of my favorite courses of all time. It's a breather from other courses since it really tests your logic and problem-solving skills. Each question feels like a fun puzzle.,The most difficult course in my 1A. Really suffered.,"A great course, but a little strange if you're used to object oriented programming.","Took it as a CSE, highest graded CSE course I have on record. Multiple choice midterm and final exams. Skipped couple lectures, but studying only the optional assignments and practice exams guaranteed a 100%","As someone who was nervous about proofs going into the course, I found that this course introduced them well! While I struggled with some of the concepts, I found proving things to be fun and sometimes even satisfying.","Omg, one bitch of a course. But it got interesting later on. It shows you how to formalize your proofs and give you a better understanding of proof techniques used later on.","Before midterms, super soft. After the first week of midterms, complete hell. Go to office hours for written assignments. Mobius assignments are free marks","Still get the chills from Econ 101, worst mark in my academic career.","This course teaches a completely new concept for most, proofs. Once you understand how to build a proof, the course gets easier, however some students never figure that part out. I think the pacing of the course is really well. My biggest piece of advice is to do the assignments by yourself. Struggling through and failing is how you learn. This is what will allow you to figure out exactly what theorems and techniques to use when which is the key to doing well overall. I personally really enjoyed proofs by the end of the course as it is a refreshing way to look at mathematics and if you truly love math you will love this course. That being said, the course is very professor dependent, so different professors provide very different experiences in this course.",
"I have never coded before so i opted to take this rather than CS135. This was really easy for me. I'm glad I took it though becuase it saved time so I can focus more on actual courses for my major (MATH145, PHYS121 etc). Don't expect to be able to code anything after this, especial since you use dr Raket. And the design recipes are a pain, my tip is put 20 test cases for everything.","Just read the textbook and slides, actual lectures seems to be pretty useless","I've never experienced a more terribly structured course than this one. You're basically left to teach yourself everything because the lectures are so incredibly boring, there's no way you're actually learning anything if you attend. Your time is much better spent not going, and just cramming at the end of the term & before the midterms of course. However, you're really just better off taking something that will actually teach you something useful. Don't take this as an elective if it's not required for your degree. If you're in math you'll have friends in this course, and you'll feel the urge to take it with them, but don't! You will thank yourself. It's such a waste of time and effort.","This course is all about writing proofs. Most of the concepts were super interesting but writing the proofs was challenging. The course is designed really well as each chapter flows into the next, so you really understand the connections. Do the assignments yourself and try to do the extra practice before midterms and finals. I personally loved this course!",First half of the course was on proof techniques. The material covered was for the most part easy albeit a bit bland. Midterm was fairly straightforward as was the final exam.,"Basic econ stuff. If you took econ in high school, it'll be pretty easy. Otherwise you might have some trouble, but it's still decently basic stuff, and concepts that can be explained by YouTube videos. The majority of the midterm and final questions (all MC) are from test banks if you can get those. Entire mark composed of two midterms and a final.","Took it online in W21 during COVID, concepts were taught in an abstract mathematical manner, which was fine (as a math major) however the concepts themselves just couldn't engage me enough to engage with the course. I'm sure if you put in minimum effort like most students you'll pass the course.","Very fun class with interesting, albeit not very applicable material. Covers stuff like elementary number theory and touches briefly on fields. Gives an intro to writing proofs by reading proofs, very well taught course. Only regret is not taking the advanced.","Didn’t take any econ courses in high school. This course was really easy, no need to read the textbook, the course notes are enough. You get 12 weekly quizzes, 2 group discussions, 1 midterm and the final. The first weekly quiz is ungraded and then the marks of 10 best quizzes out of 11 are considered which amounts to 40% of your grade. We also have 2 group discussions worth 10% each which are very easy. You can easily get a 9/10 in the discussions. The midterm contained 50mcq and the final consisted of 50mcqs and 5 short answer questions. Prof kumase did some review sessions on webex occasionally. These are recorded and can help you understand the concepts more clearly. It’s definitely a bird course. Spent only about a maximum of 4-5 hours per week. Ended up with a 93.",Boring but easy.,"The course was relatively easy, but the midterm was setup poorly - the focus was not on core concepts but on the exactness of the stepping problems, which I don't think is useful at all.",
