Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
"Reviewing as a science major, this course was definitely the one that set me up with programming. Even though it was Dr. Racket, concepts were easy to follow. Be sure to go ask a lot of questions if you do not understand.","This course is great for anyone that is interested in math. It is quite different from high school math courses, as it is a whole new way of approaching mathematical problems. The course goes over techniques of proofs, which are the building blocks of many future math courses. The later half of the course goes over some number theory, I found it sufficiently challenging but still interesting. In terms of course load there are weekly assignments, but they are not too bad if you start early, and you are allowed to ask instructors for help. Be warned that the exams are fairly difficult though. Overall, a great course for any math enthusiasts to take.",This course is interesting and easy before the midterm. Still interesting after the midterm but it is super hard. I took it twice and still couldn't get a good grade,"This course isn't easy. It takes a lot of hard work from your end to get a good mark. As the semester progresses, the concepts get harder. That is, at first, they can sound very confusing and intimidating. However, with a lot of practice and patience, you can relate to the topics more effectively. The proofs come to you with patience. Don't get discouraged if you are not able to solve them right away.","SO easy, didn't pay attention in the lectures, just used course notes.",Interesting course. Assignments can be challenging so start those as soon as possible. Midterm and Final were straightforward.,Very easy course if you keep up with the material and do the assignments.,"math student who took this course since I had 0 prior programming experience. the course isn't horribly hard, but if you fall behind or don't understand one lesson, everything following will be super challenging. the course was mostly online completing modules, and my biggest criticism is that solutions for lessons are never posted after they are due which makes it super challenging to do the next week's module if you didn't understand/didnt know how to write a specific code for the week. the racket language used in this course is easy to follow but not very useful and isn't used anywhere. this makes it difficult to find help outside of cs115 profs/ta's/past cs115 students. the course is oddly paced, felt the super easy and simple first half of the course, and then gets unreasonably fast. didn't find any of the profs/ta's answers to questions posted on discussion boards useful at all. because the course was only offered online, I had to essentially had to teach the whole course to myself"
"I took this course online due to the COVID-19 pandemic, so my review is based on a remote, online learning experience. Overall, as someone who is not a CS student and who doesn't have a lot of background experience and knowledge in programming, it's a great introductory course to the language of Racket and the overall concepts that will be useful in later computer science courses. The Racket language itself is not a very ""useful"" language that you may or may not use in later CS courses and even in a job, but the foundation it provides is very valuable and will definitely make you think more mathematically at programming problems. The difficulty of this course starts to increase after the midterm exam, and it does get pretty tough nearing the end. I recommend starting the assignments as early as possible and attend as many office hours if you have any questions. The course staff are very responsive and do offer a good amount of help depending on your questions. Overall, I can't say much about the in-person learning experience, but this course was suited well for online learning and I enjoyed it.",It's a great course. Well organized and building a fundamental basis for our mathematical intuition. It also combines how the elegance of writing and math.,Useful course. Assignments get a lot harder after the midterm.,"This course is all about writing proofs. Most of the concepts were super interesting but writing the proofs was challenging. The course is designed really well as each chapter flows into the next, so you really understand the connections. Do the assignments yourself and try to do the extra practice before midterms and finals. I personally loved this course!","I actually enjoyed this course. It was a lot of new stuff for me but nothing too hard to get. Assignments were impossible to do alone so I had to go to office hours every week or talk with friends or go to tutorial centre to solve everything. The textbook is pretty useful, has some good examples.","Interesting material, but truly quite difficult. Takes a lot of practice, especially before major assessments, so keeping on top of assignments and quizzes helps a lot.","The course was not very hard. The language used was Scheme, which I did not like and found it to be very tedious. It is not as fun as other languages. The course however was good overall.",Pretty interesting course. Mobius quizzes were quite easy but set aside a fair amount of time for written assignments as they tend to get much more difficult post midterm.
"Nice course that teaches you how to write simple code. But little annoying that you have to do Design Recipe (especially writing an explanation for codes). There is no loop in DrRacket so being able to understand recursion is important. All course contents are based on a website and you have to read everything and code something on that website. Pity that this course will not show many algorithms or data structures. So far I think those who can just play computer games (i.e. no coding experience but can easily type using the keyboard) can easily get 90+ in this course. If you have ever coded like C, python, java, pascal and so on, easy to get 95+. Idk why the easy rate goes so low but trust me, super easy course if you finish reading the material (okay reading part may be a little boring and CS 135 provide detailed intros which seem not wordy)","pretty useful for the first year, for math courses generally. basically all of them have proofs of some sort and this course teaches you how to handle proofs really easily, basically formulaically. great prof and course notes too","Materials before the midterm were very easy, the course gets a bit harder after the midterm. But if you do all your assignments, you should be able to do well on the exam easily.","Was my favourite course in 1A, taught you a different way of thinking and approaching problems. It is a difficult course, but if you read the textbook and do lots and lots of practice problems you will be fine.","do not take this as an elective unless coding/math is easy for you! there are a lot of concepts, impossible to teach yourself from the course notes because of how poorly organized they are. lectures are impossibly boring. My best friend tutors this class and I still justtttt scraped by. language is not super useful in life. many of my friends have taken this course because they heard it was easy and ended up failing.","Very fun class with interesting, albeit not very applicable material. Covers stuff like elementary number theory and touches briefly on fields. Gives an intro to writing proofs by reading proofs, very well taught course. Only regret is not taking the advanced.",the course is hard but definitely manageable. don't stress over the assignments because they are worth so little. rather you should try to understand the content on a much deeper level. that goes a long way,"Never taken anything even remotely related and this was super easy. Read the modules, take a couple hours each week to do assignments, easy enough midterm and final."
"A great course, but a little strange if you're used to object oriented programming.","Very useful course. Really enjoyed applying proof techniques to different questions. Although somewhere around (Assignment 4+), assignment difficulty went from stupidly easy to incredibly difficult and it could take upwards of 15 hours to complete a problem set.",Honestly I struggled with the course more than I should have in hindsight. But don't despair if you get a bad midterm mark - if you work hard you can improve your mark in the final.,Realized how good this course was after the term I finished it. Go through the material thoroughly and the most important part in the course is understanding the definitions and solve as many problems as you can.,Easy final. Pay attention and do the assignments--that should more than prepare you for the course.,"Learning how to do proofs...well, this course wasn't very interesting especially if you are not of the math type. Assignments are difficult. Midterm was easy and final was easy-fair though.",This course teaches proof techniques which I assume that will be used a lot in future math courses and ended with lots of calculation. It was neither hard nor hard but I learned how to manage time wisely (took some time to get used to first-year university math tho).,"Other than some of the oligarchy content and some of the material in the beginning, this course was just a knowledge dump of a bunch of microeconomic content. You won't retain anything that you learn at all. quizzes/exams were multiple choice, which weren't too bad if you took it online. Mark also consisted of 2 discussion boards, which were engaging (but you get penalized if someone responds to your post 30 minutes before its due and you don't reply back because its 11pm at night)"
"If you feel like you have sufficient Computer Science experience, go to CS 135 because it does challenge you more. This is a good introductory course to learn programming. Also, Racket needs some getting used to.","By far the most interesting course of 1A. Teaching proof techniques is the main focus of the course, and is done quite well -- but all the topics that we touched on (gcd, complex numbers, modular arithmetic), were interesting too! One assignment a week, which usually took 3-6 hours, plus three Mobius quizzes a week, open for 24 hours each. The midterm was challenging but still fair, and the final was much easier. My only regret is not taking MATH 145 instead. If you are anywhere near the Euclid score cutoff, you should apply for the advanced courses instead -- you will likely find 135 to be fairly easy.","Course was easy until immediately after the midterm, where it suddenly ramped up in difficulty (RSA in particular threw me for a loop). Assignments were much harder than any of the exams, so don't be discouraged if you can't do them. People hype this course up - it's challenging, but not impossible to do well in.","Can't really speak to its usefulness, but it is a tough course for most people. It's very different from what we've been learning so far so make sure you attend lectures and do the assignments. Do not procrastinate on the assignments as you will regret this when midterms or finals come around. Practice using the theorems and practice the different proofs. Midterm and final are quite reasonable if you put in the work during the term. Final has a couple computation questions which are your easy marks so make sure you get those!","Actual content is kind of interesting but the course is easy, just read from the textbook",Really interesting course. I was lost in class but it was much better when I self studied. NOT AS HARD as people say it is.,"The most disgusting piece of content that I have ever learnt in my life. This course is so useless and unnecessarily complicated. The lectures are often useless because instead of actually explaining how to solve problems, the whole lecture is wasted on proving random theorems that we will never be expected to prove. If you do bad on the midterm, don't give up as the content gets much better next term which means it is still possible for you to recover your mark. As far as I saw, the first part of the course is tough to wrap your head around for most people but the post midterm content is more computational and easier to understand. If you can take the course online then do it since assignments and quizzes are weighted higher and the exams are online as well.","Fair difficulty but very tedious/annoying proofs on weekly written assignments (15-22h each week for me, to achieve low 90s on average) that just made me not want to see a proof ever again. Mike Cooper-Stachowsky is an amazing lecturer, but even then, I couldn't find myself engaged in the content apart from the concept (not proofs - those were not engaging) of modular arithmetic and RSA encryption. The Mobius assignments (quizzes) were free marks if you put enough time/effort into them since they had 3 attempts each, and oftentimes there were some questions that just took away so much of my sanity that I gave up and settled for a lower grade."
"Not a bird course, although if you have background in programming it would not be difficult at all. Racket is somewhat useless but I learned some concepts that will be useful for other programming languages","As someone who did a lot of math contests in high school, I found the course very exciting, and provided me with a new perspective and appreciation for language and proofs in mathematics.","I feel like it's too early in my academic career to speak of the usefulness of this course. I will agree with what others have said, pre-midterm this class is really not tough. In fact my advice would be to squeeze all the marks you can pre-midterm, by doing this you are able to save your dropped assignment for the second half when assignments become a lot harder and you can go into the exam being able to pass the course with a fail on the exam. Also go to office hours and start assignments early, they're a great help.","this is a really great and interesting course! There is a lot of learning to do, and you do need a very consistent work ethic in order to keep up with course content. Practice makes perfect!",Easiest course I've ever taken. No need to go to class or get the textbook. If you just read the slides the night before the midterms and exam you should be able to get a high 90. It's 100% multiple choice and mostly common sense.,Interesting course was generally fun to learn its contents. Assignments were more difficult than midterm though...,"It's kind of hard for students who are in 1A term because it takes time to get used to this course. The assignments are always much harder than the content, which needs to be improved.","I think this course ran well online, the notes were very organized and easy enough to follow along and there is good support from most of the proffs and tas. The course may be a little fast for a complete cs beginner but the course has 400+ practice questions to help prepare for the weekly assignments"
Take CS 135 or 145 if you have prior programming experience. The majority of this course is exceedingly easy if you already know programming basics. It may only possibly get difficult at the very end. The design recipe and templates are the hardest thing for the majority of the course.,"It gives you a first insight of mathematical proofs;a very easy course,but the knowledge taught will be repeatedly used in upper-year math.",Hardest Class in 1A! Study until your hand hurts from those proofs. Also post midterm is much easier than pre-midterm.,"Proofs! The harder problem solving works out to be either you know it or you don't know it, so you basically just have to do a lot of problem solving and maybe something will stick. This course is good for writing proofs in other courses later.",Birdiest course I've ever taken. Don't even need to go to lectures just study from the textbook and solve the exam bank questions. The version of the textbook doesn't matter so don't waste money on a newer version.,"Great course with emphasis on proofs covering many topics. Some of the proofs can be pretty challenging to figure out, but are rewarding upon completion. Start your assignments early and don't be afraid to ask friends or your prof for clues to assignment problems if you are stuck.","I found the course hard since it's not like anything we learned in high school. There were a lot of proofs and algorithms, which I'm not good at. However, the course is very interesting and I enjoyed it.","This course wasn't actually that bad but I still didn't like it. It was 1 module and quiz a week which was really easy at the beginning and end of the course. Some parts in the middle of the course made no sense and the questions made even less sense. The basics of supply & demand, elasticity, and types of markets are the only useful takeaways from the course. A lot of the course is common sense and I regret actually taking this course. The discussion posts were easy and the quizzes & exams were medium difficulty."
Really easy course. Especially if you have coded before. Assignments get a little harder at the end but both the midterm and finals were easy. The only thing I hated about this course was how annoying using Dr. Racket can be at times.,A very interesting class that teaches you the fundamentals of proofs and abstract algebra. Essential for anybody who wants to have a basic understanding of how math works. This ain't your high school math anymore.,"It's hard to motivate yourself to do the assignments when each is 2% or something, but it really is important to keep on top of it. They only get harder and arguably the only way to guarantee that you'll do well on the midterm (since you WILL be asked to write mini programs) I personally found the exam to be much harder than the midterm, so you really need to use the midterm as a grade booster.","Definitely a challenging course, especially if you have no prior experience with writing formal proofs. Just make sure that you practice the concepts by finding question banks online and you'll be fine!","Fairly easy course overall, enjoyed the class a lot. Carrie Knoll was an excellent lecturer.",Quite an interesting course.,"This course is taught in an archaic language that no one uses and no one understands. Instructors' explanations are irrelevant to actual questions and I got yelled during office hrs even though I stated that I need a little patience (I am disabled). Assignments and quizzes are unreasonably hard. I took to take this for bioinformatics option and decided to change my future career. Truly the worst in UW history. If you don't need this course, run.","PROS: (1) Readings itself were simple to understand. (2) Nicely arranged content on Learn and Mobius (I took it online). (3) Decent grade, task, and submission period distribution. CONS: (1) Too many readings for a first-time learner of econ. (2) One collective zoom office hour (1 hour long) at the beginning of the week felt very unfair (3) Found a need for more OHs each week and a MS teams GC. (4) Felt isolated from the rest of the class. (5) lack of one-to-one instructional support (unless you email every question). (6) Had to refer to external resources for quicker understanding because readings were too time consuming. (7) Weren't taught at all on how to approach an article/case study. TIPS: (1) Finish all readings in the first two days of the week, (2) repeat quizzes till you get them correct (you get 4 chances per graded quiz every week, please use these well). (3) Don’t just read to study, answer a lot of MCQs."
"One of my least favourite courses. Although things were nicely organized, Racket was such an annoying language to use. The one tangible benefit I felt after using Racket was feeling more comfortable with recursion.","Hard course, but fundamental math concepts taught.","Really easy course. Only 3 exams, two midterms and a final throughout the whole course. Only went to a couple of classes and still passed decently.","Really interesting course, makes you explore a whole new way of understanding mathematics. Unfortunately, if you're in-person only 20% of your grade is from assignments and quizzes, and the other 80 is midterm and final. Makes it really demotivating at times because each assignment is only 1% of your grade.","I liked this course because it was easy, but I do not know if it was very useful for me because I didn't find it applicable, a lot of the theories seemed outdated or useless but I probably think that because I just wanted free marks and didn't ask questions. Most people will find this easy but you still need to do work to succeed, for an easy 90+ buy the study guide.","This course was personally very easy for me and I enjoyed it very much. You learn the foundation of theory, proofs, elementary number theory and crypto. Really try to learn from this course; the assignments are tough and the exam was half the difficulty of the assignments (which is good).","So Easy. Just follow the course notes. It literally tells you how to do everything you need to do. Assignments take some time, so leave a few hours aside for them. Otherwise this class is super easy.","The first 2/3 of this course made lots of sense, the last 1/3 I really struggled with."
For someone with no history in writing programs this was a very cool course. Lectures were difficult to pay attention to but I liked the overall skill set I came out of the course with. Also learned that coding can be very frustrating (you can easily get stuck at a road block for significant amounts of time) yet very rewarding (no better feeling than finally getting your program to run),"This course teaches a completely new concept for most, proofs. Once you understand how to build a proof, the course gets easier, however some students never figure that part out. I think the pacing of the course is really well. My biggest piece of advice is to do the assignments by yourself. Struggling through and failing is how you learn. This is what will allow you to figure out exactly what theorems and techniques to use when which is the key to doing well overall. I personally really enjoyed proofs by the end of the course as it is a refreshing way to look at mathematics and if you truly love math you will love this course. That being said, the course is very professor dependent, so different professors provide very different experiences in this course.","It's easy if you know how to study properly (did not do this until the final, so didnt do too great). Just STUDY FROM and MEMORIZE the practice questions/exam bank. Seriously a lot of the questions on the final are suuuper similar and sometimes even word for word exact numbers. So basically, you arent supposed to try and actually learn the content, just memorize. Really dumb since people dont retain the knowledge but easy mark if you just memorize the exam bank.","I honestly didn't find this course too bad. Writing proofs seems daunting at first, but with practice, you'll start to be able to think in that manner and it will become much easier. I would caution relying on others for help too much though- I think the best way to screw yourself over in this course is to not keep pushing even when you get stuck on a question (Which happens a lot).",Pretty interesting course. As someone who never did Econ prior to this course it was important to keep up with all the new content as concepts tend to build on each other. Trust the test bank and you'll end up with high 90s,Useful and relevant course. Well structured and interesting.,"Very interesting course, material can be challenging but that is part of why I liked it.","Super easy if you do it online, there was no midterm and the final was going to be all multiple choice (except it was cancelled due to the pandemic). There was one multiple choice quiz every week. A lot of the content was just common sense, which makes this a good course to do online because going to lectures would be pretty useless."
