Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7
coding,number,midterm,problems,textbook,dependent,term,modules
racket,school,exam,solve,lectures,quite,amazing,week
may,techniques,final,make,read,early,solve,answers
design,proof techniques,able,questions,taken,office hours,many,online
based,high school,mark,school,study,well,effort,quizzes
language,theory,midterm final,make sure,economics,number theory,office,took
experience,high,easy course,think,useless,half,office hours,find
cs,number theory,choice,based,read textbook,personally,first year,hours
programming,idea,passed,important,concepts,office,day,complete
everything,proofs,anything,lot,try,start,recommend,prof
